,match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
301,3,Australia,Sri Lanka,8.3,0,AJ Finch,,Adelaide Oval
302,3,Australia,Sri Lanka,8.4,0,0,,Adelaide Oval
303,3,Australia,Sri Lanka,8.5,1,0,,Adelaide Oval
304,3,Australia,Sri Lanka,8.6,1,0,,Adelaide Oval
305,3,Australia,Sri Lanka,9.1,2,0,,Adelaide Oval
306,3,Australia,Sri Lanka,9.2,1,0,,Adelaide Oval
307,3,Australia,Sri Lanka,9.3,1,0,,Adelaide Oval
308,3,Australia,Sri Lanka,9.4,6,0,,Adelaide Oval
309,3,Australia,Sri Lanka,9.5,1,0,,Adelaide Oval
310,3,Australia,Sri Lanka,9.6,1,0,,Adelaide Oval
311,3,Australia,Sri Lanka,9.7,0,0,,Adelaide Oval
312,3,Australia,Sri Lanka,10.1,6,0,,Adelaide Oval
313,3,Australia,Sri Lanka,10.2,0,0,,Adelaide Oval
314,3,Australia,Sri Lanka,10.3,0,0,,Adelaide Oval
315,3,Australia,Sri Lanka,10.4,0,0,,Adelaide Oval
316,3,Australia,Sri Lanka,10.5,0,0,,Adelaide Oval
317,3,Australia,Sri Lanka,10.6,1,0,,Adelaide Oval
318,3,Australia,Sri Lanka,11.1,1,0,,Adelaide Oval
319,3,Australia,Sri Lanka,11.2,2,0,,Adelaide Oval
320,3,Australia,Sri Lanka,11.3,2,0,,Adelaide Oval
321,3,Australia,Sri Lanka,11.4,0,0,,Adelaide Oval
322,3,Australia,Sri Lanka,11.5,1,0,,Adelaide Oval
323,3,Australia,Sri Lanka,11.6,1,0,,Adelaide Oval
324,3,Australia,Sri Lanka,12.1,1,0,,Adelaide Oval
325,3,Australia,Sri Lanka,12.2,1,0,,Adelaide Oval
326,3,Australia,Sri Lanka,12.3,4,0,,Adelaide Oval
327,3,Australia,Sri Lanka,12.4,6,0,,Adelaide Oval
328,3,Australia,Sri Lanka,12.5,1,0,,Adelaide Oval
329,3,Australia,Sri Lanka,12.6,4,0,,Adelaide Oval
330,3,Australia,Sri Lanka,13.1,0,0,,Adelaide Oval
331,3,Australia,Sri Lanka,13.2,4,0,,Adelaide Oval
332,3,Australia,Sri Lanka,13.3,0,0,,Adelaide Oval
333,3,Australia,Sri Lanka,13.4,0,0,,Adelaide Oval
334,3,Australia,Sri Lanka,13.5,0,0,,Adelaide Oval
335,3,Australia,Sri Lanka,13.6,0,BR Dunk,,Adelaide Oval
336,3,Australia,Sri Lanka,14.1,1,0,,Adelaide Oval
337,3,Australia,Sri Lanka,14.2,1,0,,Adelaide Oval
